type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Cuckoo,Deep blue polygon Hat,Cambridge blue eye&black long eyebrow,Pink short hair,Orange triangle Mouth,Colours front shape wing
Hummingbird,Orange black polygon Hat,Light cyan  eye&orange long eyebrow,Red airplane,Orange short Mouth,Blue  triangle  wing
Thrush,Blue triangle Hat,White eye&black long eyebrow,Pink Curly,Golden big Mouth,Red trapeziod wing 
Pelican,Cyan pentagon glasses,Black eye&round eyebrow,Pink short hair,Blue triangle  Mouth,Orange triangle  wing
Turkey,Black white Hat,Big black eye&orange eyebrow,Above color crown,Pale red Mouth,Dark cyan wing 
Swallow,Pink necklace,Black eye&jet black eyebrow,Above color crown,Orange triangle Mouth,Dark Colours wing
Magpie,Violet black  Hat,Small black eye&orange  eyebrow,Black long hair,Light yellow short Mouth,Yellow agree front shape wing 
Seagull,Black Hat,Black eye&round eyebrow,Above color crown,Depp red triangle Mouth,Pink  violet sector wing
Swallow,Dark blue rectangle glasses,Light cyan eye&pink eyebrow,Orange hairdo,Black pink Mouth,Red front shape wing 
Chick,Somber triangle glasses,Black eye&yellow eyebrow,Cyan Curly,Black bluw long Mouth,Yellow rhomboid wing
Aurora,Black pink Hat,Small black eye&long eyebrow,Pink long hair,Orange triangle big Mouth,Violet tooth profine wing
Vulture,Colous pentagon glasses,Cyan eye&dark red eyebrow,Black broken,Gray Mouth,Colours tooth profine wing
Penguin,Dark orange necklace,Black white eye&long eyebrow,Blue broken,Shallow black triangle Mouth,White sector wing
Turkey,Deep blue trapezoid Hat,Black whiteeye&round eyebrow,Yellow braid,Red triangle small Mouth,Red trapeziod wing 
Pigeon,Orange black square Hat,Small black eye&red long eyebrow,Black broken,Light orange short Mouth,Cyan  tooth profine wing
Thrush,Blue triangle Hat,Black eye&round black eyebrow,Blue hairdo,Orange triangle Mouth,Orange white sector wing
Pelican,Black white square glasses,Light cyan eye&orange eyebrow,Black long hair,Golden triangle Mouth,Pink  violet sector wing
Hummingbird,Deep gray  round Hat,Black eye&orange eyebrow,Green braid,Dark blue triangle Mouth,Agree trapeziod wing  
Pigeon,Blue flat Hat,Cyan eye&dark red eyebrow,Light cyan hair,Red triangle Mouth,Dark blue  wing 
Turkey,Black white Hat,Small black eye&red long eyebrow,Red yellow crown,Get black triangle Mouth,Agree sector wing
Bullfinch,Orange black square Hat,Black eye&jet black eyebrow,Orange short hair,Orange short Mouth,Red wing
Hummingbird,Deep gray  round Hat,Black red eye&A round eyebrow,Cyan Curly,Black pink Mouth,Dark Colours wing
Seagull,Deep blue mesh cap,White eye&black long eyebrow,Blue long hair,Pale red Mouth,Dark black wing 
Bullfinch,Dark blue  square glasses,Black eye&yellow eyebrow,Green braid,Orange polygon  Mouth,Red trapeziod wing 
Woodpecker,Black brow hat,Black eye&pink eyebrow,Red airplane,Black Mouth,White black rhomboid wing
Ostrich,Deep blue trapezoid Hat,Light cyan eye&pink eyebrow,Black red hair,Yellow long Mouth,Blue tooth profine wing
Seagull,Blue Hat,Red eye&black eyebrow,Green braid,Black orange small Mouth,Yellow tooth profine wing
Bullfinch,Dark black round Hat,Light cyan eye&orange eyebrow,Plae yellow braid,Red short Mouth,Orange triangle  wing
Duck,Brow hat,Light cyan eye&pink eyebrow,Green crown,Light orange Mouth,Cyan trapeziod wing 
Seagull,Orange yellow Hat,Small black eye&red long eyebrow,Black red hair,Yellow long Mouth,White gray wing
Ostrich,Orange yellow round Hat,Cambridge blue eye&black long eyebrow,Light cyan hair,Golden square Mouth,Blue  triangle  wing
Turkey,Pink necklace,Black white eye&long eyebrow,Red punk,Orange square Mouth,Gray trapeziod wing 
Chick,Somber triangle glasses,Black eye&long black eyebrow,Blue broken,Blue Naroon,Yellow trapeziod wing 
Swan,Deep blue mesh cap,Big black eye&orange eyebrow,Black broken,Black long Mouth,Orange trapeziod wing 
Turkey,Black white square glasses,Light cyan  eye&orange long eyebrow,Cyan Curly,Black long Mouth,Blue rhomboid wing
Swan,Dark blue gray polygon Hat,Big black eye&black long eyebrow,Red hairdo,Orange long Mouth,Agree sector wing
Pigeon,Violet round glasses,Black purple eye&long eyebrow,Red Curly,Golden small Mouth,Colours wing 
Pigeon,Blue flat Hat,Black eye&long eyebrow,Cyan punk,Orange long Mouth,Black trapeziod wing  
Crow,Blue black round glasses,Light cyan eye&pink eyebrow,Above color crown,Red triangle small Mouth,Iridescence wing
Chick,Dark black round Hat,Black cyan eye&long eyebrow,Blue punk,Golden Mouth,Colours sector wing
Swan,Dark blue gray polygon Hat,Blue eye&blue eyebrows,Black yellow hair,Black yellow Mouth,Gray rhomboid wing
Seagull,Brow hat,Black eye&jet black eyebrow,Orange middle parting,Black orange small Mouth,Grey violet sector wing
Bullfinch,Agree black quadrangle Hat,Light cyan eye&pink eyebrow,Red punk,Black orange small Mouth,Blue trapeziod wing 
Swan,Pink red round Hat,Light cyan  eye&orange long eyebrow,Blue hairdo,Black orange black Mouth,Blue rhomboid wing
Hummingbird,Orange round glasses,Small black eye&long eyebrow,Red yellow crown,Blue Naroon,Orange rhomboid wing
Seagull,Black orange necklace,Light cyan  eye&orange long eyebrow,Black long hair,Deep Orange square Mouth,Blue rhomboid wing
Chick,Dark black round Hat,Jet black eye&long eyebrow,Blue long hair,Golden polygon Mouth,Dark blue cyan wing
Pelican,Black pink Hat,black orange eye&long eyebrow,Above color crown,Blue small Mouth,Black rhomboid wing
Pigeon,Orange yellow Hat,Small black eye&orange  eyebrow,Cyan Curly,Orange triangle small Mouth,Dark blue cyan wing
Woodpecker,Orange square glasses,Blue eye&blue eyebrows,Red short hair,Depp red triangle Mouth,White gray wing
Pigeon,Orange yellow Hat,Black eye&round black eyebrow,Black red hair,Yellow long Mouth,Violet trapeziod wing 
Cuckoo,Black cyan Hat,Pink black eye&long eyebrow,Blue Curly,Deep Orange square Mouth,Yellow tooth profine wing
Blue Bird,Red black quadrangle Hat,Black eye&deep orange eyebrow,Pink long hair,Light blue short Mouth,Cyan trapeziod wing 
Cuckoo,Deep blue polygon Hat,Black eye&pink eyebrow,Blue broken,Black orange black Mouth,Pink wing 
Blue Bird,Deep yellow arch Hat,Black eye&long eyebrow,Red punk,Dark blue triangle Mouth,Cyan yellow sector wing
Woodpecker,Rainbow trapezoid  Hat,Light cyan eye&orange eyebrow,Blue broken,Gray big Mouth,Violetv wing
Swan,Pink red round Hat,Light cyan  eye&orange long eyebrow,Black red hair,Golden big Mouth,Violet trapeziod wing 
Pelican,Blue square glasses,Orange eye& eyCambridge blue eyebrow,Red hairdo,Orange polygon  Mouth,Colours trapeziod wing 
Bullfinch,Orange black white round Hat,Orange eye& eyCambridge blue eyebrow,Blue punk,Black red long Mouth,Red rhomboid wing
Hummingbird,Orange black  Hat,White eye&Black eyebrow,Light cyan hair,Yellow long Mouth,Colours trapeziod wing 
Pelican,Black pink Hat,black orange eye&long eyebrow,Cyan punk,Orange long Mouth,White gray wing
Magpie,Blue black round glasses,Small black eye&orange  eyebrow,Pink middle parting,Pale yellow triangle  Mouth,Agree wing
Pelican,Green Hat,Light cyan eye&pink eyebrow,Red yellow crown,Blue triangle  Mouth,Yellow agree trapeziod wing
Ostrich,Black triangle glasses,Small black eye&orange  eyebrow,Green crown,Orange triangle big Mouth,Orange white sector wing
Blue Bird,Blue triangle Hat,Big black eye&orange eyebrow,Pink long hair,Shallow black triangle Mouth,Colours front shape wing
Duck,Orange black square Hat,Black eye&orange eyebrow,Orange hairdo,Light orange short Mouth, Dark violet front shape wing
Bullfinch,Orange headset,Red eye&black eyebrow,Green braid,Orange quadrangle Mouth,Blue rhomboid wing
Vulture,Orange pentagon glasses,Black red eye&A round eyebrow,Red yellow crown,Black orange long Mouth,Yellow trapeziod wing 
Duck,Blue triangle Hat,Blue eye&blue eyebrows,Pink broken,Orange triangle Mouth,Yellow trapeziod wing 
Magpie,Dark black round Hat,White eye&Black eyebrow,Deep red Curly,Deep Golden triangle Mouth,Iridescence wing
Chick,Orange black white round Hat,Black eye&round eyebrow,Black yellow hair,Deep Blue triangle Mouth,Yellow tooth profine wing
Vulture,Orange yellow round Hat,Big black eye&long eyebrow,Blue long hair,Deep yellow triangle  Mouth,Dark blue  wing 
Pelican,Black white square glasses,Light cyan eye&orange eyebrow,Pink middle parting,Gray triangle Mouth,Orange trapeziod wing 
Hummingbird,Orange black  Hat,White eye&black long eyebrow,Yellow braid,Orange triangle big Mouth,Agree wing
Cuckoo,Blue trapezoid  Hat,Black purple eye&long eyebrow,Green crown,Black Mouth,Yellow trapeziod wing 
Penguin,Pink headset,Black eye&orange long eyebrow,Pink Curly,Orange triangle small Mouth,Colours wing 
Pigeon,Gray black Hat,Black eye&round eyebrow,Above color crown,Orange square Mouth,Pink  violet sector wing
Penguin,Black white square glasses,Black eye&orange eyebrow,Orange hairdo,Deep Golden triangle Mouth,Iridescence wing
Bullfinch,Orange round glasses,Small black eye&orange  eyebrow,Yellow braid,Golden quadrangle  Mouth,Blue trapeziod wing 
Magpie,Blue black round glasses,Black eye&pink eyebrow,Orange short hair,Golden square Mouth,Light cyan front shape wing
Aurora,Blue square glasses,Black eye&pink eyebrow,Pink Curly,Black bluw long Mouth, Dark violet front shape wing
Woodpecker,Somber triangle glasses,White eye&black long eyebrow,Red airplane,Golden triangle Mouth,Black trapeziod wing  
Penguin,Light cyan agree necklace,Cyan black eye&long eyebrow,Black broken,Golden square Mouth,Red trapeziod wing 
Aurora,Deep orange black round hat,Light cyan eye&pink eyebrow,Blue broken,Light orange Mouth,Violetv wing
Seagull,Dark blue round Hat,Blue eye&blue eyebrows,Orange hairdo,Golden square Mouth,Dark blue  wing 
Turkey,Violet black  Hat,Cambridge blue eye&pink eyebrow,Green crown,Black orange long Mouth,Colours front shape wing
Penguin,Orange round Hat,Black eye&jet black eyebrow,Orange long hair,Orange small Mouth,Yellow trapeziod wing 
Aurora,Orange headset,White eye&black long eyebrow,Pink long hair,Deep Golden triangle Mouth,Black trapeziod wing  
Blue Bird,Black arch Hat,Light cyan  eye&orange long eyebrow,Green braid,Black red long Mouth,Colours front shape wing
Penguin,Black white square glasses,Cyan eye&dark red eyebrow,Light cyan shorthair,Blue Naroon, Dark violet front shape wing
Vulture,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Cyan Curly,Black orange black Mouth,Cyan trapeziod wing 
Crow,Cambridge blue square glasses,Black red eye&A round eyebrow,Black yellow hair,Pale red Mouth,White sector wing
Magpie,Violet black  Hat,Light cyan eye&orange eyebrow,Pink short hair,Golden square Mouth,Yellow agree trapeziod wing
Bullfinch,Red black triangle glasses,Black cyan eye&long eyebrow,Black red hair,Gray Mouth,Red sector wing
Cuckoo,Pink red round Hat,Black eye&orange eyebrow,Cyan short hair,Orange triangle big Mouth,Yellow tooth profine wing
Turkey,Violet black  Hat,Black red eye&A round eyebrow,Red yellow crown,Golden polygon Mouth,Agree wing
Ostrich,Orange yellow round glasses,Black eye&round black eyebrow,Red yellow crown,Deep yellow triangle  Mouth,Violet tooth profine wing
Thrush,Black brow hat,Black eye&yellow eyebrow,Plae yellow braid,Pale gold Palegreen,Light cyan front shape wing
Vulture,Green Hat,Big black eye&long eyebrow,Black broken,Black long Mouth,Iridescence wing
Swallow,Light cyan necklace,Black cyan eye&long eyebrow,Pink Curly,Deep Orange square Mouth,Agree trapeziod wing  
Woodpecker,White square glasses,Small black eye&long eyebrow,Yellow braid,Pale red Mouth,Dark blue  wing 
Seagull,Black Hat,Black eye&round eyebrow,Black middle parting,Gray big Mouth,Yellow trapeziod wing 
Turkey,Yellow quadrangle Hat,Big black eye&orange eyebrow,Black yellow hair,Deep yellow triangle  Mouth,Violet tooth profine wing
Cuckoo,Orange round glasses,Small black eye&long eyebrow,Green braid,Orange triangle Mouth,Agree trapeziod wing  
Swallow,Orange black polygon Hat,Black whiteeye&round eyebrow,Black middle parting,Orange polygon  Mouth,Orange trapeziod wing 
Swan,Blue black triangle glasses,Black eye&Black eyebrow,Cyan punk,Orange polygon  Mouth,Orange white sector wing
Bullfinch,Dark blue necklace,Small black eye&red long eyebrow,Black long hair,Yellow long Mouth,Blue cyan wing
Pelican,Red flat Hat,Black white eye&long eyebrow,Pink broken,Pale gold Palegreen,Colours trapeziod wing 
Ostrich,Black triangle glasses,White eye&black long eyebrow,Golden airplane,Golden small Mouth,Orange trapeziod wing 
Magpie,Brow hat,Light cyan  eye&orange long eyebrow,Blue broken,Orange quadrangle Mouth,Violet trapeziod wing 
Swallow,Orange black polygon Hat,White eye&black long eyebrow,Red yellow crown,Deep orange triangle  Mouth,Blue trapeziod wing 
Seagull,Black orange necklace,Black eye&pink eyebrow,Orange short hair,Gray Mouth,Colours trapeziod wing 
Blue Bird,Orange square glasses,Cyan eye&dark red eyebrow,Black short hair,Dark blue triangle Mouth,Red sector wing
Blue Bird,Black white square glasses,Light cyan eye&pink eyebrow,Green crown,Light blue short Mouth,Yellow trapeziod wing 
Pelican,Pink square glasses,Black eye&jet black eyebrow,Deep red Curly,Pale red Mouth,Black trapeziod wing  
Vulture,Pink triangle Hat,Black whiteeye&round eyebrow,Red hairdo,Blue small Mouth,Yellow agree trapeziod wing
Vulture,Orange yellow round Hat,Big black eye&black long eyebrow,Black short hair,Yellow long Mouth,Pink  violet sector wing
Hummingbird,orange perked cap,Black eye&long eyebrow,Orange hairdo,Dark blue triangle Mouth,White black rhomboid wing
Duck,Violet red polygon Hat,Big black eye&orange eyebrow,Cyan punk,Blue triangle  Mouth,Dark cyan wing 
Swan,Dark blue round Hat,Small black eye&red long eyebrow,Orange hairdo,Pale yellow triangle  Mouth,Violet trapeziod wing 
Duck,Violet round glasses,Black eye&pink eyebrow,Cyan punk,Golden big Mouth,Colours sector wing
Seagull,Dark blue round Hat,Black eye&orange long eyebrow,Light cyan hair,Orange triangle small Mouth,Violetv wing
Cuckoo,Orange round glasses,Black red eye&A round eyebrow,Yellow Curly,Deep orange triangle  Mouth,Orange yellow wing
Seagull,Black Hat,Cyan eye&dark red eyebrow,Red yellow crown,Dark blue triangle Mouth,Dark blue  wing 
Crow,Dark blue headset,Black eye&round black eyebrow,Green crown,Golden square Mouth,White sector wing
Pigeon,Gray black Hat,Small black eye&long eyebrow,Blue hairdo,Orange triangle Mouth,Yellow tooth profine wing
Hummingbird,Rainbow round Hat,Pink black eye&long eyebrow,Yellow Curly,Black orange black Mouth,Yellow tooth profine wing
Crow,Deep blue polygon Hat,Cambridge blue eye&black long eyebrow,Pink middle parting,Orange polygon  Mouth,Cyan yellow sector wing
Turkey,Blue trapezoid  Hat,Small black eye&red long eyebrow,Red yellow crown,Black yellow Mouth,Yellow rhomboid wing
Thrush,Black white Hat,black orange eye&long eyebrow,Black long hair,Shallow black triangle Mouth,Grey violet sector wing
Pigeon,Pink triangle Hat,Black eye&long eyebrow,Blue broken,Orange Mouth,Red front shape wing 
Bullfinch,Orange black square Hat,Black eye&jet black eyebrow,Green braid,Black orange small Mouth,Dark cyan wing 
Thrush,Black necklace,Black purple eye&long eyebrow,Blue short hair,Black triangle small Mouth,Blue trapeziod wing 
Swan,Deep gray  round Hat,Cyan eye&dark red eyebrow,Light cyan hair,Black red long Mouth,Colours sector wing
Magpie,Dark black round Hat,White eye&Black eyebrow,Pink broken,Orange long Mouth,Cyan yellow sector wing
Chick,Violet square glasses,Jet black eye&long eyebrow,Red hairdo,Blue small Mouth,Blue trapeziod wing 
Magpie,Black white necklace,Blue eye&blue eyebrows,Pink short hair,Pale yellow triangle  Mouth,Dark red wing 
Blue Bird,Deep yellow arch Hat,Small black eye&long eyebrow,Black short hair,Red triangle Mouth,White black rhomboid wing
Swallow,Yellow quadrangle Hat,Small black eye&long eyebrow,Light cyan shorthair,Black pink Mouth,Dark blue cyan wing
Turkey,Orange pentagon glasses,Black eye&long pink eyebrow,Cyan punk,Golden triangle small Mouth,Yellow agree front shape wing 
Hummingbird,Yellow quadrangle Hat,Big black eye&orange eyebrow,Red airplane,Orange polygon  Mouth,Pink  violet sector wing
Bullfinch,Orange round glasses,Small black eye&orange  eyebrow,Yellow braid,Orange polygon  Mouth,White black rhomboid wing
Seagull,Red black round glasses,Black red eye&A round eyebrow,Black red hair,Black Mouth,White sector wing
Ostrich,Deep blue mesh cap,Blue eye&blue eyebrows,Pink Curly,Black pink Mouth,Pink  violet sector wing
Hummingbird,Green Hat,Black cyan eye&long eyebrow,Orange hairdo,Black long Mouth,Orange triangle  wing
Crow,Deep blue polygon Hat,Big black eye&orange eyebrow,Red airplane,Orange short Mouth,White gray wing
Aurora,Orange headset,White eye&black long eyebrow,Blue short hair,Gray Mouth,Grey violet sector wing
